// $r =  8 relative value
// $w = 16 word
// $v =  8 value
// $o =  8 relative offset
// $j =  8 relative jump
// $a = 16 address
00	nop
fdcb$o28	sra (iy+*),b
fdcb$o29	sra (iy+*),c
fdcb$o2a	sra (iy+*),d
fdcb$o2b	sra (iy+*),e
fdcb$o2c	sra (iy+*),h
fdcb$o2d	sra (iy+*),l
fdcb$o2e	sra (iy+*)
fdcb$o2f	sra (iy+*),a
fdcb$o30	sll (iy+*),b
fdcb$o31	sll (iy+*),c
fdcb$o32	sll (iy+*),d
fdcb$o33	sll (iy+*),e
fdcb$o34	sll (iy+*),h
fdcb$o35	sll (iy+*),l
fdcb$o36	sll (iy+*)
fdcb$o37	sll (iy+*),a
fdcb$o38	srl (iy+*),b
fdcb$o39	srl (iy+*),c
fdcb$o3a	srl (iy+*),d
fdcb$o3b	srl (iy+*),e
fdcb$o3c	srl (iy+*),h
fdcb$o3d	srl (iy+*),l
fdcb$o3e	srl (iy+*)
fdcb$o3f	srl (iy+*),a
fdcb$o40	bit 0,(iy+*)
fdcb$o41	bit 0,(iy+*)
fdcb$o42	bit 0,(iy+*)
fdcb$o43	bit 0,(iy+*)
fdcb$o44	bit 0,(iy+*)
fdcb$o45	bit 0,(iy+*)
fdcb$o46	bit 0,(iy+*)
fdcb$o47	bit 0,(iy+*)
fdcb$o48	bit 1,(iy+*)
fdcb$o49	bit 1,(iy+*)
fdcb$o4a	bit 1,(iy+*)
fdcb$o4b	bit 1,(iy+*)
fdcb$o4c	bit 1,(iy+*)
fdcb$o4d	bit 1,(iy+*)
fdcb$o4e	bit 1,(iy+*)
fdcb$o4f	bit 1,(iy+*)
fdcb$o50	bit 2,(iy+*)
fdcb$o51	bit 2,(iy+*)
fdcb$o52	bit 2,(iy+*)
fdcb$o53	bit 2,(iy+*)
fdcb$o54	bit 2,(iy+*)
fdcb$o55	bit 2,(iy+*)
fdcb$o56	bit 2,(iy+*)
fdcb$o57	bit 2,(iy+*)
fdcb$o58	bit 3,(iy+*)
fdcb$o59	bit 3,(iy+*)
fdcb$o5a	bit 3,(iy+*)
fdcb$o5b	bit 3,(iy+*)
fdcb$o5c	bit 3,(iy+*)
fdcb$o5d	bit 3,(iy+*)
fdcb$o5e	bit 3,(iy+*)
fdcb$o5f	bit 3,(iy+*)
fdcb$o60	bit 4,(iy+*)
fdcb$o61	bit 4,(iy+*)
fdcb$o62	bit 4,(iy+*)
fdcb$o63	bit 4,(iy+*)
fdcb$o64	bit 4,(iy+*)
fdcb$o65	bit 4,(iy+*)
fdcb$o66	bit 4,(iy+*)
fdcb$o67	bit 4,(iy+*)
fdcb$o68	bit 5,(iy+*)
fdcb$o69	bit 5,(iy+*)
fdcb$o6a	bit 5,(iy+*)
fdcb$o6b	bit 5,(iy+*)
fdcb$o6c	bit 5,(iy+*)
fdcb$o6d	bit 5,(iy+*)
fdcb$o6e	bit 5,(iy+*)
fdcb$o6f	bit 5,(iy+*)
fdcb$o70	bit 6,(iy+*)
fdcb$o71	bit 6,(iy+*)
fdcb$o72	bit 6,(iy+*)
fdcb$o73	bit 6,(iy+*)
fdcb$o74	bit 6,(iy+*)
fdcb$o75	bit 6,(iy+*)
fdcb$o76	bit 6,(iy+*)
fdcb$o77	bit 6,(iy+*)
fdcb$o78	bit 7,(iy+*)
fdcb$o79	bit 7,(iy+*)
fdcb$o7a	bit 7,(iy+*)
fdcb$o7b	bit 7,(iy+*)
fdcb$o7c	bit 7,(iy+*)
fdcb$o7d	bit 7,(iy+*)
fdcb$o7e	bit 7,(iy+*)
fdcb$o7f	bit 7,(iy+*)
fdcb$o80	res 0,(iy+*),b
fdcb$o81	res 0,(iy+*),c
fdcb$o82	res 0,(iy+*),d
fdcb$o83	res 0,(iy+*),e
fdcb$o84	res 0,(iy+*),h
fdcb$o85	res 0,(iy+*),l
fdcb$o86	res 0,(iy+*)
fdcb$o87	res 0,(iy+*),a
fdcb$o88	res 1,(iy+*),b
fdcb$o89	res 1,(iy+*),c
fdcb$o8a	res 1,(iy+*),d
fdcb$o8b	res 1,(iy+*),e
fdcb$o8c	res 1,(iy+*),h
fdcb$o8d	res 1,(iy+*),l
fdcb$o8e	res 1,(iy+*)
fdcb$o8f	res 1,(iy+*),a
fdcb$o90	res 2,(iy+*),b
fdcb$o91	res 2,(iy+*),c
fdcb$o92	res 2,(iy+*),d
fdcb$o93	res 2,(iy+*),e
fdcb$o94	res 2,(iy+*),h
fdcb$o95	res 2,(iy+*),l
fdcb$o96	res 2,(iy+*)
fdcb$o97	res 2,(iy+*),a
fdcb$o98	res 3,(iy+*),b
fdcb$o99	res 3,(iy+*),c
fdcb$o9a	res 3,(iy+*),d
fdcb$o9b	res 3,(iy+*),e
fdcb$o9c	res 3,(iy+*),h
fdcb$o9d	res 3,(iy+*),l
fdcb$o9e	res 3,(iy+*)
fdcb$o9f	res 3,(iy+*),a
fdcb$oa0	res 4,(iy+*),b
fdcb$oa1	res 4,(iy+*),c
fdcb$oa2	res 4,(iy+*),d
fdcb$oa3	res 4,(iy+*),e
fdcb$oa4	res 4,(iy+*),h
fdcb$oa5	res 4,(iy+*),l
fdcb$oa6	res 4,(iy+*)
fdcb$oa7	res 4,(iy+*),a
fdcb$oa8	res 5,(iy+*),b
fdcb$oa9	res 5,(iy+*),c
fdcb$oaa	res 5,(iy+*),d
fdcb$oab	res 5,(iy+*),e
fdcb$oac	res 5,(iy+*),h
fdcb$oad	res 5,(iy+*),l
fdcb$oae	res 5,(iy+*)
fdcb$oaf	res 5,(iy+*),a
fdcb$ob0	res 6,(iy+*),b
fdcb$ob1	res 6,(iy+*),c
fdcb$ob2	res 6,(iy+*),d
fdcb$ob3	res 6,(iy+*),e
fdcb$ob4	res 6,(iy+*),h
fdcb$ob5	res 6,(iy+*),l
fdcb$ob6	res 6,(iy+*)
fdcb$ob7	res 6,(iy+*),a
fdcb$ob8	res 7,(iy+*),b
fdcb$ob9	res 7,(iy+*),c
fdcb$oba	res 7,(iy+*),d
fdcb$obb	res 7,(iy+*),e
fdcb$obc	res 7,(iy+*),h
fdcb$obd	res 7,(iy+*),l
fdcb$obe	res 7,(iy+*)
fdcb$obf	res 7,(iy+*),a
fdcb$oc0	set 0,(iy+*),b
fdcb$oc1	set 0,(iy+*),c
fdcb$oc2	set 0,(iy+*),d
fdcb$oc3	set 0,(iy+*),e
fdcb$oc4	set 0,(iy+*),h
fdcb$oc5	set 0,(iy+*),l
fdcb$oc6	set 0,(iy+*)
fdcb$oc7	set 0,(iy+*),a
fdcb$oc8	set 1,(iy+*),b
fdcb$oc9	set 1,(iy+*),c
fdcb$oca	set 1,(iy+*),d
fdcb$ocb	set 1,(iy+*),e
fdcb$occ	set 1,(iy+*),h
fdcb$ocd	set 1,(iy+*),l
fdcb$oce	set 1,(iy+*)
fdcb$ocf	set 1,(iy+*),a
fdcb$od0	set 2,(iy+*),b
fdcb$od1	set 2,(iy+*),c
fdcb$od2	set 2,(iy+*),d
fdcb$od3	set 2,(iy+*),e
fdcb$od4	set 2,(iy+*),h
fdcb$od5	set 2,(iy+*),l
fdcb$od6	set 2,(iy+*)
fdcb$od7	set 2,(iy+*),a
fdcb$od8	set 3,(iy+*),b
fdcb$od9	set 3,(iy+*),c
fdcb$oda	set 3,(iy+*),d
fdcb$odb	set 3,(iy+*),e
fdcb$odc	set 3,(iy+*),h
fdcb$ofd	set 3,(iy+*),l
fdcb$ode	set 3,(iy+*)
fdcb$odf	set 3,(iy+*),a
fdcb$oe0	set 4,(iy+*),b
fdcb$oe1	set 4,(iy+*),c
fdcb$oe2	set 4,(iy+*),d
fdcb$oe3	set 4,(iy+*),e
fdcb$oe4	set 4,(iy+*),h
fdcb$oe5	set 4,(iy+*),l
fdcb$oe6	set 4,(iy+*)
fdcb$oe7	set 4,(iy+*),a
fdcb$oe8	set 5,(iy+*),b
fdcb$oe9	set 5,(iy+*),c
fdcb$oea	set 5,(iy+*),d
fdcb$oeb	set 5,(iy+*),e
fdcb$oec	set 5,(iy+*),h
fdcb$oed	set 5,(iy+*),l
fdcb$oee	set 5,(iy+*)
fdcb$oef	set 5,(iy+*),a
fdcb$of0	set 6,(iy+*),b
fdcb$of1	set 6,(iy+*),c
fdcb$of2	set 6,(iy+*),d
fdcb$of3	set 6,(iy+*),e
fdcb$of4	set 6,(iy+*),h
fdcb$of5	set 6,(iy+*),l
fdcb$of6	set 6,(iy+*)
fdcb$of7	set 6,(iy+*),a
fdcb$of8	set 7,(iy+*),b
fdcb$of9	set 7,(iy+*),c
fdcb$ofa	set 7,(iy+*),d
fdcb$ofb	set 7,(iy+*),e
fdcb$ofc	set 7,(iy+*),h
fdcb$ofd	set 7,(iy+*),l
fdcb$ofe	set 7,(iy+*)
fdcb$off	set 7,(iy+*),a
